t,ax,ay,az
5.61,-13.1814,4.393800000000001,-16.5988
5.62,-13.6696,3.4174,-17.575200000000002
5.63,-13.1814,3.9056,-16.5988
5.64,-12.693200000000001,2.9292000000000002,-17.087
5.65,-13.6696,2.9292000000000002,-17.087
5.66,-13.1814,2.9292000000000002,-17.575200000000002
5.67,-13.1814,3.4174,-17.087
5.68,-12.693200000000001,3.9056,-17.575200000000002
5.69,-12.205,3.4174,-17.575200000000002
5.7,-13.1814,2.9292000000000002,-18.0634
5.71,-13.1814,2.9292000000000002,-17.087
5.72,-12.693200000000001,2.9292000000000002,-17.575200000000002
5.73,-12.205,3.4174,-17.575200000000002
5.74,-13.6696,2.4410000000000003,-17.087
5.75,-12.693200000000001,3.4174,-18.0634
5.76,-13.6696,2.9292000000000002,-17.087
5.7700000000000005,-13.1814,1.9528,-17.575200000000002
5.78,-12.693200000000001,3.4174,-17.575200000000002
5.79,-12.693200000000001,2.4410000000000003,-16.5988
5.8,-12.205,2.9292000000000002,-17.087
5.8100000000000005,-13.1814,3.9056,-17.575200000000002
5.82,-12.205,3.9056,-17.575200000000002
5.83,-12.205,3.9056,-17.575200000000002
5.84,-12.205,3.4174,-17.087
5.8500000000000005,-11.716800000000001,3.4174,-17.575200000000002
5.86,-13.1814,2.4410000000000003,-17.087
5.87,-12.693200000000001,3.4174,-17.087
